company
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
equivalent
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
equivalent
sample_08
equivalent
equivalent
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_07
equivalent
sample_08
sample_08
sample_08
equivalent
equivalent
equivalent
equivalent
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
equivalent
equivalent
sample_08
sample_08
equivalent
sample_08
equivalent
equivalent
sample_08
equivalent
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_07
sample_08
sample_08
equivalent
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_07
equivalent
sample_08
equivalent
equivalent
equivalent
sample_07
equivalent
equivalent
equivalent
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
equivalent
equivalent
sample_08
sample_08
equivalent
equivalent
sample_08
sample_08
sample_08
equivalent
sample_08
equivalent
equivalent
equivalent
equivalent
sample_08
sample_07
sample_08
equivalent
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
equivalent
equivalent
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
equivalent
equivalent
equivalent
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
equivalent
equivalent
sample_08
equivalent
sample_08
equivalent
equivalent
equivalent
equivalent
sample_08
sample_08
equivalent
sample_08
sample_08
equivalent
sample_07
sample_07
sample_07
sample_08
sample_08
equivalent
equivalent
sample_08
sample_08
equivalent
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
equivalent
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
sample_08
sample_07
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
sample_08
equivalent
